"time","level","step","message"
"2026-08-12 20:07:12","INFO","start","Raiz do projeto: C:/Users/oorie/OneDrive/Documentos/TRABALHOS/CMC"
"2026-08-12 20:07:12","INFO","xlsx","Abas encontradas: cmap_results_up, l1000_results_up, creeds_results_up, cmap_results_down, l1000_results_down, creeds_results_down"
"2026-08-12 20:07:13","INFO","nqo1","Linhas validas na planilha NQO1: 3523"
"2026-08-12 20:07:13","INFO","nqo1","Farmacos unicos (pos-unificacao case-insensitive): 1266"
"2026-08-12 20:07:13","INFO","table1","Tabela 1 gerada: plataformas x direcao"
"2026-08-12 20:07:13","INFO","nqo1","Doxorubicin encontrada (pos-unificacao); melhor q-value: 2.21e-28"
"2026-08-12 20:07:13","INFO","nqo1","Direcao da doxorubicina: Downregula NQO1 | mean_fc: -1.065"
"2026-08-12 20:07:14","INFO","plot","Figura salva: C:/Users/oorie/OneDrive/Documentos/TRABALHOS/CMC/output/figures/nqo1_drug_regulation/volcano_NQO1_drugs.png"
"2026-08-12 20:07:15","INFO","plot","Figura salva: C:/Users/oorie/OneDrive/Documentos/TRABALHOS/CMC/output/figures/nqo1_drug_regulation/dose_response_NQO1_drugs.png"
"2026-08-12 20:07:15","INFO","read","Lendo C:/Users/oorie/OneDrive/Documentos/TRABALHOS/CMC/output/tables/pubchem/pubchem_results_all.csv"
"2026-08-12 20:07:15","INFO","plot","Figura salva: C:/Users/oorie/OneDrive/Documentos/TRABALHOS/CMC/output/figures/pubchem/pubchem_top_genes_compound_counts.png"
"2026-08-12 20:07:15","INFO","read","Lendo C:/Users/oorie/OneDrive/Documentos/TRABALHOS/CMC/output/tables/ampk/DEG_AMPK_pathway.csv"
"2026-08-12 20:07:15","INFO","ppi","Lendo STRING protein info."
"2026-08-12 20:07:16","INFO","ppi","Lendo STRING links."
"2026-08-12 20:07:18","INFO","plot","Figura salva: C:/Users/oorie/OneDrive/Documentos/TRABALHOS/CMC/output/figures/ppi/PPI_AMPK_network.png"
"2026-08-12 20:07:18","INFO","ppi","Rede PPI: 119 nos e 1874 arestas."
