"entrez_id","symbol","description"
"10000","AKT3","AKT3; AKT serine/threonine kinase 3 [KO:K04456] [EC:2.7.11.1]"
"10488","CREB3","CREB3; cAMP responsive element binding protein 3 [KO:K09048]"
"10645","CAMKK2","CAMKK2; calcium/calmodulin dependent protein kinase kinase 2 [KO:K07359] [EC:2.7.11.17]"
"1080","CFTR","CFTR; CF transmembrane conductance regulator [KO:K05031] [EC:5.6.1.6]"
"10890","RAB10","RAB10; RAB10, member RAS oncogene family [KO:K07903]"
"10891","PPARGC1A","PPARGC1A; PPARG coactivator 1 alpha [KO:K07202]"
"110117499","P3R3URF-PIK3R3","P3R3URF-PIK3R3; P3R3URF-PIK3R3 readthrough [KO:K02649]"
"1149","CIDEA","CIDEA; cell death inducing DFFA like effector a [KO:K25893]"
"126129","CPT1C","CPT1C; carnitine palmitoyltransferase 1C [KO:K19524] [EC:2.3.1.21]"
"1374","CPT1A","CPT1A; carnitine palmitoyltransferase 1A [KO:K08765] [EC:2.3.1.21]"
"1375","CPT1B","CPT1B; carnitine palmitoyltransferase 1B [KO:K19523] [EC:2.3.1.21]"
"1385","CREB1","CREB1; cAMP responsive element binding protein 1 [KO:K05870]"
"148","ADRA1A","ADRA1A; adrenoceptor alpha 1A [KO:K04135]"
"148327","CREB3L4","CREB3L4; cAMP responsive element binding protein 3 like 4 [KO:K09048]"
"1938","EEF2","EEF2; eukaryotic translation elongation factor 2 [KO:K03234]"
"1978","EIF4EBP1","EIF4EBP1; eukaryotic translation initiation factor 4E binding protein 1 [KO:K07205]"
"1994","ELAVL1","ELAVL1; ELAV like RNA binding protein 1 [KO:K13088]"
"200186","CRTC2","CRTC2; CREB regulated transcription coactivator 2 [KO:K16333]"
"207","AKT1","AKT1; AKT serine/threonine kinase 1 [KO:K04456] [EC:2.7.11.1]"
"208","AKT2","AKT2; AKT serine/threonine kinase 2 [KO:K04456] [EC:2.7.11.1]"
"2194","FASN","FASN; fatty acid synthase [KO:K00665] [EC:2.3.1.85]"
"2203","FBP1","FBP1; fructose-bisphosphatase 1 [KO:K03841] [EC:3.1.3.11]"
"2308","FOXO1","FOXO1; forkhead box O1 [KO:K07201]"
"2309","FOXO3","FOXO3; forkhead box O3 [KO:K09408]"
"23216","TBC1D1","TBC1D1; TBC1 domain family member 1 [KO:K18341]"
"23411","SIRT1","SIRT1; sirtuin 1 [KO:K11411] [EC:2.3.1.286]"
"23417","MLYCD","MLYCD; malonyl-CoA decarboxylase [KO:K01578] [EC:4.1.1.9]"
"2475","MTOR","MTOR; mechanistic target of rapamycin kinase [KO:K07203] [EC:2.7.11.1]"
"2538","G6PC1","G6PC1; glucose-6-phosphatase catalytic subunit 1 [KO:K01084] [EC:3.1.3.9]"
"28227","PPP2R3B","PPP2R3B; protein phosphatase 2 regulatory subunit B''beta [KO:K11583]"
"29904","EEF2K","EEF2K; eukaryotic elongation factor 2 kinase [KO:K08292] [EC:2.7.11.20]"
"2997","GYS1","GYS1; glycogen synthase 1 [KO:K00693] [EC:2.4.1.11]"
"2998","GYS2","GYS2; glycogen synthase 2 [KO:K00693] [EC:2.4.1.11]"
"31","ACACA","ACACA; acetyl-CoA carboxylase alpha [KO:K11262] [EC:6.4.1.2 6.3.4.14 2.1.3.15]"
"3156","HMGCR","HMGCR; 3-hydroxy-3-methylglutaryl-CoA reductase [KO:K00021] [EC:1.1.1.34]"
"3172","HNF4A","HNF4A; hepatocyte nuclear factor 4 alpha [KO:K07292]"
"32","ACACB","ACACB; acetyl-CoA carboxylase beta [KO:K01946] [EC:6.4.1.2 6.3.4.14 2.1.3.15]"
"3479","IGF1","IGF1; insulin like growth factor 1 [KO:K05459]"
