sample,AMPK_score,group
NF10,0.029036448795060343,CTRL
NF11,0.1567616359545541,CTRL
NF12,0.08541327462326986,CTRL
NF13,-0.11872734815507247,CTRL
NF14,-0.12329978949520048,CTRL
NF1,0.21570337319833854,CTRL
NF3,-0.16700737381093134,CTRL
NF5,-0.044319680640914544,CTRL
NF7,0.12354617679670288,CTRL
NF15,0.15859966910418688,CTRL
NF2,-0.007514267004539554,CTRL
NF4,0.08158903913107962,CTRL
NF6,0.07798486981106684,CTRL
NF8,0.12108997227541912,CTRL
DCM8,-0.1524515079711944,DCM
DCM14,-0.11607919087733909,DCM
DCM12,0.04574616544265386,DCM
DCM13,-0.11019807662868858,DCM
DCM11,-0.27709935713115186,DCM
DCM17,0.16554014082720464,DCM
DCM16,-0.11648009019464073,DCM
DCM18,-0.004104626903487951,DCM
DCM19,-0.04703709962325858,DCM
DCM21,-0.03006917558931782,DCM
DCM20,-0.18377861883636748,DCM
DCM22,0.055510466183614326,DCM
DCM24,-0.17473409390419778,DCM
DCM26,-0.00488408184557107,DCM
DCM28,0.09805726868237358,DCM
DCM29,-0.29298368504388145,DCM
DCM2,-0.107986033945221,DCM
DCM31,-0.3366679145769722,DCM
DCM32,-0.19631469366973053,DCM
DCM33,-0.13996724146316897,DCM
DCM34,-0.104351931427276,DCM
DCM35,0.15536360805762167,DCM
DCM38,0.034142079144792836,DCM
DCM39,0.023406704456973126,DCM
DCM3,-0.2348775379609132,DCM
DCM43,0.1605015088925193,DCM
DCM44,0.03479571874991666,DCM
DCM46,-0.0905997672090681,DCM
DCM4,-0.008554740242103398,DCM
DCM6,-0.052542348035206354,DCM
DCM72,-0.12560868404985892,DCM
DCM73,-0.12527346059545938,DCM
DCM74,-0.07061942091056522,DCM
DCM75,-0.17191291158086192,DCM
DCM76,-0.14704317972616865,DCM
DCM77,-0.37807734231471957,DCM
DCM78,0.03638878969603332,DCM
