"Drug_Name_Norm","Drug_Name","mean_fc","median_fc","max_abs_fc","min_p_value","min_q_value","n_tests","n_sources","sources","score","direction"
"trichostatin a","trichostatin A",0.68092125,0.6159675,1.21368,0,0,4,1,"CMAP",60.684,"Upregula NQO1"
"doxorubicin","Doxorubicin",-1.065066,-0.806871,4.21316,5.07e-29,2.21e-28,15,2,"CREEDS; LINCS L1000",41.4095711168431,"Downregula NQO1"
"manumycin-a","manumycin-a",-0.00966405000000002,0.745931,3.5044,2.12781e-22,3.61695e-20,20,1,"LINCS L1000",68.1313445247692,"Upregula NQO1"
"parthenolide","parthenolide",1.56870868965517,1.43363,5.65209,3.57655e-22,4.42459e-19,29,1,"LINCS L1000",93.9951550210712,"Upregula NQO1"
"panobinostat","panobinostat",-0.538731571428571,-1.022653,1.60109,2.91787e-19,6.60316e-18,14,1,"LINCS L1000",24.8555240533833,"Downregula NQO1"
"piperlongumine","piperlongumine",-0.705483,-1.49663,2.89271,2.77018e-19,1.15087e-17,10,1,"LINCS L1000",48.9995387003765,"Downregula NQO1"
"radicicol","radicicol",1.31851846153846,1.34336,3.82162,6.21395e-20,2.2684e-17,26,1,"LINCS L1000",53.705904064662,"Upregula NQO1"
"brd-k68548958","BRD-K68548958",-0.426082,-0.996418,3.25008,7.97697e-19,3.19481e-17,8,1,"LINCS L1000",53.6118732802001,"Downregula NQO1"
"ym-155","YM-155",-0.977160714285714,-0.990967,2.92837,2.39573e-18,6.17455e-17,7,1,"LINCS L1000",47.4671051231198,"Downregula NQO1"
"cot-10b","COT-10b",-1.61229827272727,-1.6163,2.60525,1.70657e-18,6.24006e-17,11,1,"LINCS L1000",34.6619291823317,"Downregula NQO1"
"15-delta-prostaglandin-j2","15-delta-prostaglandin-j2",1.46837841176471,1.5139,2.77645,2.64639e-19,9.06613e-17,17,1,"LINCS L1000",34.8412710260334,"Upregula NQO1"
"pha-793887","PHA-793887",-0.9412643125,-0.870275,3.61306,1.34453e-18,1.28498e-16,16,1,"LINCS L1000",57.4155108880287,"Downregula NQO1"
"tacedinaline","tacedinaline",0.02689915,0.1705651,2.30183,8.35331e-18,1.5501e-16,8,1,"LINCS L1000",25.6381774553269,"Upregula NQO1"
"sa-1447005","SA-1447005",2.57495333333333,1.69027,4.54297,9.97914e-20,1.70935e-16,3,1,"LINCS L1000",71.6297757686889,"Upregula NQO1"
"ct-200783","CT-200783",1.26114422222222,1.27471,4.30785,2.82695e-19,2.73698e-16,9,1,"LINCS L1000",67.0418994350204,"Upregula NQO1"
"nsc-632839","NSC-632839",0.681537727272727,1.04528,3.86004,4.27097e-18,2.98138e-16,11,1,"LINCS L1000",53.469855443197,"Upregula NQO1"
"narciclasine","narciclasine",-1.538838,-1.77927,3.42,2.13388e-17,4.96522e-16,13,1,"LINCS L1000",52.3398903434477,"Downregula NQO1"
"mw-a1-12","MW-A1-12",-1.89662,-2.272,3.62852,5.06676e-18,7.32641e-16,5,1,"LINCS L1000",54.9180449141669,"Downregula NQO1"
"withaferin-a","withaferin-a",0.552051692307692,1.02495,2.88648,6.47195e-18,1.15294e-15,13,1,"LINCS L1000",43.1187961768972,"Upregula NQO1"
"wz-3105","WZ-3105",-1.62310205555556,-1.584325,3.5393,4.87571e-17,2.95837e-15,18,1,"LINCS L1000",51.4223039229253,"Downregula NQO1"
