"protein1","protein2","combined_score","from","to"
"9606.ENSP00000164133","9606.ENSP00000418447",999,"PPP2R5B","PPP2CA"
"9606.ENSP00000164133","9606.ENSP00000324804",999,"PPP2R5B","PPP2R1A"
"9606.ENSP00000212015","9606.ENSP00000264867",999,"SIRT1","PPARGC1A"
"9606.ENSP00000212015","9606.ENSP00000368880",999,"SIRT1","FOXO1"
"9606.ENSP00000212015","9606.ENSP00000385824",999,"SIRT1","FOXO3"
"9606.ENSP00000219476","9606.ENSP00000298552",999,"TSC2","TSC1"
"9606.ENSP00000219476","9606.ENSP00000354558",999,"TSC2","MTOR"
"9606.ENSP00000219476","9606.ENSP00000262187",999,"TSC2","RHEB"
"9606.ENSP00000221138","9606.ENSP00000325074",999,"PPP2CB","PPP2R2A"
"9606.ENSP00000221138","9606.ENSP00000417963",999,"PPP2CB","PPP2R5D"
"9606.ENSP00000221138","9606.ENSP00000324804",999,"PPP2CB","PPP2R1A"
"9606.ENSP00000222254","9606.ENSP00000289153",999,"PIK3R2","PIK3CB"
"9606.ENSP00000222254","9606.ENSP00000304895",999,"PIK3R2","IRS1"
"9606.ENSP00000222254","9606.ENSP00000263967",999,"PIK3R2","PIK3CA"
"9606.ENSP00000225577","9606.ENSP00000307272",999,"RPS6KB1","RPTOR"
"9606.ENSP00000225577","9606.ENSP00000354558",999,"RPS6KB1","MTOR"
"9606.ENSP00000229328","9606.ENSP00000323867",999,"PRKAB1","PRKAG1"
"9606.ENSP00000229328","9606.ENSP00000346148",999,"PRKAB1","PRKAA1"
"9606.ENSP00000229328","9606.ENSP00000360290",999,"PRKAB1","PRKAA2"
"9606.ENSP00000229328","9606.ENSP00000287878",999,"PRKAB1","PRKAG2"
"9606.ENSP00000254101","9606.ENSP00000323867",999,"PRKAB2","PRKAG1"
"9606.ENSP00000254101","9606.ENSP00000346148",999,"PRKAB2","PRKAA1"
"9606.ENSP00000254101","9606.ENSP00000360290",999,"PRKAB2","PRKAA2"
"9606.ENSP00000254101","9606.ENSP00000287878",999,"PRKAB2","PRKAG2"
"9606.ENSP00000258418","9606.ENSP00000324856",999,"CAB39","STK11"
"9606.ENSP00000258418","9606.ENSP00000336655",999,"CAB39","STRADA"
"9606.ENSP00000261461","9606.ENSP00000311344",999,"PPP2R5A","PPP2R1B"
"9606.ENSP00000261461","9606.ENSP00000418447",999,"PPP2R5A","PPP2CA"
"9606.ENSP00000261461","9606.ENSP00000324804",999,"PPP2R5A","PPP2R1A"
"9606.ENSP00000262187","9606.ENSP00000219476",999,"RHEB","TSC2"
"9606.ENSP00000262187","9606.ENSP00000298552",999,"RHEB","TSC1"
"9606.ENSP00000262187","9606.ENSP00000307272",999,"RHEB","RPTOR"
"9606.ENSP00000262187","9606.ENSP00000354558",999,"RHEB","MTOR"
"9606.ENSP00000262741","9606.ENSP00000263967",999,"PIK3R3","PIK3CA"
"9606.ENSP00000262741","9606.ENSP00000304895",999,"PIK3R3","IRS1"
"9606.ENSP00000263967","9606.ENSP00000428056",999,"PIK3CA","PIK3R1"
"9606.ENSP00000263967","9606.ENSP00000262741",999,"PIK3CA","PIK3R3"
"9606.ENSP00000263967","9606.ENSP00000304895",999,"PIK3CA","IRS1"
"9606.ENSP00000263967","9606.ENSP00000222254",999,"PIK3CA","PIK3R2"
"9606.ENSP00000264867","9606.ENSP00000287820",999,"PPARGC1A","PPARG"
"9606.ENSP00000264867","9606.ENSP00000212015",999,"PPARGC1A","SIRT1"
