"gene","x","y","log2FoldChange","padj","direction","degree"
"PPP2R5B",2.3376449480479,-2.03171635586609,0.0816871420922309,0.53567737497113,"up",34
"SIRT1",2.01954679143035,-1.92464408634284,0.357104266063429,0.0009189213492616,"up",40
"TSC2",2.06656210114682,-2.05053664878807,0.308705486628498,0.00024965699938918,"up",54
"PPP2CB",2.32041206565854,-2.003032146841,0.246568007447722,0.0357090727588308,"up",52
"PIK3R2",2.18272483530447,-1.83889076080977,-0.148101812780577,0.297016852488139,"down",30
"RPS6KB1",2.17714993614161,-2.02979216790643,-0.346748728758782,0.00149376866643868,"down",64
"PRKAB1",1.93258119345159,-2.12067832849071,0.577903915713154,4.97431255773737e-07,"up",74
"PRKAB2",1.92040858631151,-2.08132692762694,-0.152908111627749,0.434280539010708,"down",72
"CAB39",1.92081049925356,-2.19020413862762,-0.0890930318693659,0.347672505298238,"down",22
"PPP2R5A",2.36381230843744,-1.98136601137632,-0.161336523402852,0.103037369866095,"down",38
"RHEB",2.07439145063248,-2.06157698784628,-0.39149041380792,7.6543196667484e-05,"down",48
"PIK3R3",2.208231219591,-1.83113710430743,-0.00860890539512749,0.977828070065449,"down",30
"PIK3CA",2.13649742357053,-1.89816904794183,-0.201967500655339,0.14614877975682,"down",46
"PPARGC1A",1.8728591330848,-1.95819285387584,-0.435596324133944,0.0428739459088478,"down",56
"IGF1R",2.14949362114085,-1.87951832361174,0.0951505562780564,0.534052355896747,"up",32
"PPARG",1.94658771448262,-1.92311050416697,-0.620427629058355,5.98489618200783e-07,"down",42
"PRKAG2",1.96818517046621,-2.10927502607796,-0.380508588642083,0.0023372265560463,"down",72
"PIK3CB",2.20477339876448,-1.8753578576506,-0.620346471032094,2.16534043653142e-07,"down",32
"TSC1",2.06238624616755,-2.0966913948591,-0.11704780007268,0.275795665572377,"down",36
"IGF1",2.07892304403749,-1.85908793584771,0.565745512557053,0.0101545986769666,"up",32
"INSR",2.25503404439778,-1.93227132190842,0.23265608388357,0.0937740903079042,"up",52
"IRS1",2.09749968970944,-1.91340128463872,-0.346709915218678,0.112456924347362,"down",60
"RPTOR",2.0463374096417,-2.0328118990284,0.289549489818636,0.00711708740161663,"up",56
"PPP2R1B",2.3445452627352,-2.01007968414826,-0.149816936330822,0.739451368581003,"down",50
"LEP",1.96198166201531,-1.98440665764691,-0.514988830421283,0.00899860078328443,"down",42
"PRKAG1",1.97348965625348,-2.10883134145584,0.0229647152624883,0.777139795195239,"up",74
"ULK1",2.09563804998402,-2.12246179642122,0.445673224088671,0.00713137736247132,"up",24
"PPP2R1A",2.33155176856935,-2.00574459930988,0.693059737525775,2.64754574483667e-11,"up",50
"STK11",1.99312860514737,-2.04749464167784,0.108700266772205,0.346758721364762,"up",42
"PPP2R2A",2.41980639997164,-2.02296459286959,-0.349502830374492,0.353709099728386,"down",36
"LEPR",1.97346377320982,-1.98820170042381,0.498490822349852,0.000871820455364981,"up",22
"PPP2R2C",2.45793401357224,-1.98362692621556,-1.19658454351943,1.67934739348344e-05,"down",28
"STRADA",1.85889345363547,-2.10885354117588,0.0929538234653586,0.276066965397727,"up",22
"PPP2R5E",2.37242091749338,-1.94023067711815,-0.296337495379756,0.0009840005712785,"down",34
"EIF4EBP1",2.18965775131613,-2.09916592326788,-1.03800492795442,0.000522145438064921,"down",24
"PRKAA1",1.94669128425514,-2.12079566233607,-0.331892502441906,0.0454001237104592,"down",76
"MTOR",2.07649296868412,-1.99232053671512,-0.190781976633117,0.00385229070090846,"down",82
"CRTC2",1.96791115907209,-1.83677168770088,0.0367738956087038,0.83050493392535,"up",36
"PRKAA2",1.9189590885959,-2.09189934230602,0.317151141313912,0.0598860866870449,"up",76
"IRS2",2.10298781496665,-1.93291674266177,0.600585769480412,0.0439908462918515,"up",42
"PIK3CD",2.22596040910229,-1.87490264954196,-0.188835421098088,0.178658990535501,"down",30
"FOXO1",2.03671575043019,-1.95122118665553,-0.161285130804168,0.611494247474616,"down",42
"PPP2R3B",2.46139912168404,-1.96721375286489,-0.105245219061098,0.377107779509814,"down",28
"AKT1S1",2.1358792280492,-2.05935624932653,-0.110460909924427,0.196230642100338,"down",28
"INS",2.13737437920834,-2.00049302697735,0.0133829912001218,0.729185530599705,"up",80
"FOXO3",2.07068431721663,-1.97499912842084,0.404582171708388,0.0657003924555295,"up",60
"CREB1",2.03557756257966,-1.78467297356837,-0.605510834873928,1.20037212249555e-05,"down",38
"PPP2R2D",2.46535980901906,-2.00272017274149,-0.0902065400471166,0.370458743653239,"down",30
"PPP2R5C",2.37919049438155,-1.97420135070081,-0.273884651027331,0.00160110691909231,"down",36
"PPP2R5D",2.29497262603601,-2.05625202264084,0.105128202052386,0.283428602422744,"up",44
"PPP2CA",2.30885216502956,-1.99224529987019,0.16352243998009,0.187044982052492,"up",56
"PIK3R1",2.18159018279883,-1.87022979268214,-0.0998800171210972,0.765668438586003,"down",38
"AKT1",2.17790324567471,-2.0024503072693,0.143809615530337,0.105597541481316,"up",102
"HNF4A",1.93111227271324,-1.79253642402154,-0.00807463585122641,0.615222003965662,"down",10
"ADIPOR1",1.91804950972573,-1.82999825945388,-0.177689627134757,0.00644789563080193,"down",10
"ADIPOR2",1.92090029112996,-1.92253784944727,0.181683970233674,0.0714253478359527,"up",12
"PPP2R2B",2.40779184404728,-2.00227833392297,0.842194029400591,0.000667284862494304,"up",30
"ADIPOQ",1.87529310860594,-1.9091013305118,-0.936848883617559,0.0805655637590686,"down",30
"FASN",1.76331899090927,-1.9952008571267,-0.67858813634005,0.0372547709526363,"down",22
"ACACA",1.80863160640001,-2.05878304031806,-0.318266716292293,0.00318446812135577,"down",28
"PRKAG3",1.95307844951442,-2.08897577166201,0.351801944144972,0.00563018060623714,"up",62
"PDPK1",2.14771528690358,-1.95903894654768,0.207046803217747,0.119069824571043,"up",40
"CAB39L",1.86655433488637,-2.14481909016234,-0.513574800211503,0.00104092221694686,"down",22
"STRADB",1.86731004504168,-2.19676498942318,-0.544679860457362,3.13498357752995e-06,"down",22
"PPP2R3A",2.39702745751462,-2.04688983889575,-0.232653904692412,0.207305103747551,"down",30
"SREBF1",1.89202792019933,-1.98430427060616,-0.810935268307937,0.000127654556413106,"down",40
"AKT2",2.175424015089,-1.96980711008037,-0.147986461411341,0.0438781416613959,"down",76
"EEF2K",2.03034437940883,-2.2096331933714,-0.172928996427713,0.247999475649746,"down",18
"AKT3",2.19880561413525,-1.95839349679111,-0.286030059941691,0.055145127906818,"down",62
"EEF2",2.2196391523758,-2.30014521206628,0.0221578829358933,0.872601091878871,"up",6
"SCD",1.6938044725269,-1.9620377409757,-0.878256393312472,0.0622178851520044,"down",14
"HMGCR",1.79832567910795,-2.08833004958915,0.276562676656614,0.0362183606468402,"up",22
"ACACB",1.7606758739274,-2.07323033618758,-0.496775162634883,0.00231543216342462,"down",30
"PFKL",2.29586003370718,-2.29731478611734,0.446983444785337,0.187076668915341,"up",18
"PFKM",2.27364607631551,-2.31641326271434,-0.216875252145426,0.0499782326451528,"down",18
"RPS6KB2",2.20821538215875,-2.00843999179516,-0.0850078683237641,0.455794433848327,"down",34
"SLC2A4",1.89073106170151,-2.15138774379096,0.00890631388653418,0.961388902664095,"up",34
"CAMKK2",1.86163668183752,-2.03844175249896,0.106207599166634,0.183735238172566,"up",16
"PFKP",2.26364209189037,-2.29292346168099,0.394217384176673,0.000488071921789022,"up",18
"PFKFB4",2.2812601228281,-2.3937758482457,-0.213224531861643,0.137478435746197,"down",16
"PFKFB2",2.16552589829871,-2.21779891438596,-0.474059194242971,0.0948712392141398,"down",28
"PFKFB3",2.12369529198481,-2.31518387766607,-0.678149983410826,0.00859141647244803,"down",22
"CCND1",2.12198005537101,-1.83248313257238,0.597792685898825,0.000915593339102831,"up",18
"CPT1A",1.65762162952036,-2.03659349376033,-0.130490090762473,0.549666687491804,"down",16
"PCK1",1.91939748483936,-2.13045549438075,-0.63233288629795,0.0106332646255245,"down",14
"CD36",1.68998659521719,-1.79138100510753,-0.197033703675407,0.242155792582071,"down",4
"CFTR",1.92048076090725,-2.23719448165384,-0.542951168803924,1.70404719936557e-05,"down",14
"FBP2",2.17589986735242,-2.32030220199428,-0.184131726786082,0.0138982166172214,"down",20
"FBP1",2.13999494992625,-2.30876869735647,-0.30781032827769,0.157220058155055,"down",24
