"CID","Name","Gene","Direction","Entrez"
122361400,NA,"PPP2R1A","up",5518
85051117,NA,"PPP2R1A","up",5518
71509318,NA,"PPP2R1A","up",5518
9576412,NA,"PPP2R1A","up",5518
6438357,NA,"PPP2R1A","up",5518
6326970,NA,"PPP2R1A","up",5518
3032536,NA,"PPP2R1A","up",5518
2871948,NA,"PPP2R1A","up",5518
457193,NA,"PPP2R1A","up",5518
451674,NA,"PPP2R1A","up",5518
446378,NA,"PPP2R1A","up",5518
186907,NA,"PPP2R1A","up",5518
164827,NA,"PPP2R1A","up",5518
155166,NA,"PPP2R1A","up",5518
154083,NA,"PPP2R1A","up",5518
82145,NA,"PPP2R1A","up",5518
73864,NA,"PPP2R1A","up",5518
66166,NA,"PPP2R1A","up",5518
37013,NA,"PPP2R1A","up",5518
24570,NA,"PPP2R1A","up",5518
24424,NA,"PPP2R1A","up",5518
24360,NA,"PPP2R1A","up",5518
23973,NA,"PPP2R1A","up",5518
14985,NA,"PPP2R1A","up",5518
14410,NA,"PPP2R1A","up",5518
12111,NA,"PPP2R1A","up",5518
7362,NA,"PPP2R1A","up",5518
7041,NA,"PPP2R1A","up",5518
6626,NA,"PPP2R1A","up",5518
5234,NA,"PPP2R1A","up",5518
1983,NA,"PPP2R1A","up",5518
712,NA,"PPP2R1A","up",5518
263,NA,"PPP2R1A","up",5518
23986041,NA,"RAB11B","up",9230
6326970,NA,"RAB11B","up",9230
5280961,NA,"RAB11B","up",9230
644019,NA,"RAB11B","up",9230
444795,NA,"RAB11B","up",9230
439501,NA,"RAB11B","up",9230
66166,NA,"RAB11B","up",9230
65064,NA,"RAB11B","up",9230
20393,NA,"RAB11B","up",9230
12111,NA,"RAB11B","up",9230
9723,NA,"RAB11B","up",9230
8289,NA,"RAB11B","up",9230
5641,NA,"RAB11B","up",9230
5311,NA,"RAB11B","up",9230
527,NA,"RAB11B","up",9230
261,NA,"RAB11B","up",9230
25104564,NA,"PRKAB1","up",5564
5284373,NA,"PRKAB1","up",5564
457193,NA,"PRKAB1","up",5564
220401,NA,"PRKAB1","up",5564
186907,NA,"PRKAB1","up",5564
155166,NA,"PRKAB1","up",5564
154083,NA,"PRKAB1","up",5564
119245,NA,"PRKAB1","up",5564
104741,NA,"PRKAB1","up",5564
95170,NA,"PRKAB1","up",5564
65157,NA,"PRKAB1","up",5564
25517,NA,"PRKAB1","up",5564
24823,NA,"PRKAB1","up",5564
24462,NA,"PRKAB1","up",5564
24360,NA,"PRKAB1","up",5564
15625,NA,"PRKAB1","up",5564
14410,NA,"PRKAB1","up",5564
13109,NA,"PRKAB1","up",5564
7847,NA,"PRKAB1","up",5564
6758,NA,"PRKAB1","up",5564
6654,NA,"PRKAB1","up",5564
6618,NA,"PRKAB1","up",5564
6562,NA,"PRKAB1","up",5564
6167,NA,"PRKAB1","up",5564
4156,NA,"PRKAB1","up",5564
3690,NA,"PRKAB1","up",5564
3657,NA,"PRKAB1","up",5564
2519,NA,"PRKAB1","up",5564
2336,NA,"PRKAB1","up",5564
1674,NA,"PRKAB1","up",5564
977,NA,"PRKAB1","up",5564
712,NA,"PRKAB1","up",5564
190,NA,"PRKAB1","up",5564
33,NA,"PRKAB1","up",5564
122361400,NA,"CREB5","up",9586
71662960,NA,"CREB5","up",9586
51033962,NA,"CREB5","up",9586
17754066,NA,"CREB5","up",9586
16682730,NA,"CREB5","up",9586
11524144,NA,"CREB5","up",9586
6509863,NA,"CREB5","up",9586
6433207,NA,"CREB5","up",9586
5388065,NA,"CREB5","up",9586
5284461,NA,"CREB5","up",9586
5284373,NA,"CREB5","up",9586
5280961,NA,"CREB5","up",9586
4521392,NA,"CREB5","up",9586
3007857,NA,"CREB5","up",9586
444795,NA,"CREB5","up",9586
409301,NA,"CREB5","up",9586
186907,NA,"CREB5","up",9586
104741,NA,"CREB5","up",9586
95170,NA,"CREB5","up",9586
68740,NA,"CREB5","up",9586
62805,NA,"CREB5","up",9586
60795,NA,"CREB5","up",9586
24823,NA,"CREB5","up",9586
